ФИО,Пол,Год поступления,Форма обучения,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Телефон,Поступил
Кузьмина Анна Сергеевна,Ж,2021,очная,64.8,,,,61.8,65.8,,86.5,70.9,Биология,"Самара, ул. Ленина, д. 144, кв. 51",+375863794026,True
Кузнецов Максим Никитич,М,2021,очная,65.1,,62.7,82.9,,,,82.0,74.5,Экономика,"Воронеж, ул. Советская, д. 142, кв. 76",+375959310341,True
Егорова Мария Михайловна,Ж,2021,очная,,58.0,66.5,,,,57.0,74.6,65.9,Прикладная математика,"Новосибирск, ул. Строителей, д. 187, кв. 63",+375276483503,False
Егорова Александра Михайловна,Ж,2021,очная,,,63.5,,44.9,50.6,,74.0,58.9,Экономика,"Новосибирск, ул. Победы, д. 191, кв. 144",+375849696532,True
Иванов Дмитрий Петрович,М,2021,очная,,54.8,,66.0,,55.9,,68.9,62.5,Экономика,"Пермь, ул. Ленина, д. 175, кв. 185",+375184514627,True
Козлов Илья Алексеевич,М,2021,очная,82.1,,61.8,,,61.7,,68.9,69.7,История,"Пермь, ул. Строителей, д. 1, кв. 154",+375570154303,True
Морозова Мария Денисовна,Ж,2021,заочная,,54.8,,,64.9,,53.0,79.7,65.4,Химия,"Самара, ул. Новая, д. 55, кв. 139",+375346578713,True
Иванов Егор Сергеевич,М,2021,очная,55.3,,,,,65.1,61.6,88.5,70.5,Прикладная математика,"Казань, ул. Зелёная, д. 55, кв. 139",+375299737631,True
Попов Никита Владимирович,М,2021,очная,65.6,,,,,58.3,68.2,70.1,67.1,Медицинская биохимия,"Санкт-Петербург, ул. Победы, д. 50, кв. 49",+375872624731,True
Петров Андрей Иванович,М,2021,очно-заочная,70.4,,,,47.9,47.4,,78.6,63.3,Экономика,"Воронеж, ул. Ленина, д. 43, кв. 98",+375064746872,True
