ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении,Поступил
Щербаков Юлиан Миронович,М,2021,очная,Биология,"п. Устюжна, ул. наб. Индустриальная, д. 3, кв. 4",+78773477848,80.4,60.0,,69.2,,,58.7,,62.633333333333326,67.3,True
Новиков Юлий Владиславович,М,2021,очно-заочная,Физика,"п. Орехово-Зуево, ул. алл. Юности, д. 784, кв. 59",88800616756,76.6,,,,53.7,71.7,56.8,,60.73333333333333,65.3,True
Русакова Ольга Севастьяновна,Ж,2021,очно-заочная,Медицинская биохимия,"клх Норильск, ул. пр. Светлый, д. 5, кв. 203",87002842762,81.3,,,74.1,59.8,,68.2,,67.36666666666666,73.9,True
Белозеров Вениамин Остапович,М,2021,очная,Прикладная математика,"г. Новый Оскол, ул. наб. Ударная, д. 621, кв. 23",+76719788977,86.5,,,64.0,60.9,,72.2,,65.7,73.3,True
Соловьев Потап Арсениевич,М,2021,очная,Химия,"клх Курильск, ул. ул. Сибирская, д. 6, кв. 110",82806479695,76.0,,73.2,,,66.6,65.6,,68.46666666666667,71.2,True
Лапин Казимир Лонгинович,М,2021,очно-заочная,Физика,"г. Химки, ул. бул. Социалистический, д. 4/6, кв. 116",+75009025590,76.0,,61.8,,51.3,,50.6,,54.56666666666666,62.5,False
Крюков Агап Станиславович,М,2021,очно-заочная,Биология,"к. Кабанск, ул. ул. Беляева, д. 520, кв. 44",86165565033,86.9,57.2,,61.0,,67.6,,,61.93333333333334,70.1,True
Владимиров Флорентин Феофанович,М,2021,очная,Медицинская биохимия,"п. Амдерма, ул. ул. Минина, д. 321, кв. 79",+74911415208,82.0,,65.4,,61.7,71.3,,,66.13333333333334,72.9,True
Пестова Елена Мартьяновна,Ж,2021,очная,История,"п. Холмск, ул. алл. Парижской Коммуны, д. 8/9, кв. 146",80769864079,74.6,,69.2,42.6,,,,50.5,54.1,61.4,False
Галкин Спартак Янович,М,2021,очная,Медицинская биохимия,"с. Ахтубинск, ул. пер. Монтажников, д. 31, кв. 110",+75696591713,80.7,,,55.4,58.5,,,71.0,61.63333333333333,66.8,True
Горбунов Валентин Ипатович,М,2021,очная,Физика,"с. Киров (Вятка), ул. ул. Брянская, д. 77, кв. 173",87852945637,74.6,82.4,62.2,,,,,78.5,74.36666666666667,73.0,True
Коновалов Светозар Никандрович,М,2021,очная,Прикладная математика,"с. Невельск, ул. бул. Шишкина, д. 6/4, кв. 216",+78344049639,74.6,61.1,83.6,,,,,64.3,69.66666666666667,71.5,True
Дьячков Геннадий Федосиевич,М,2021,очно-заочная,История,"клх Холмск, ул. бул. Некрасова, д. 21, кв. 162",+79195419876,78.9,,61.2,63.7,,,,62.2,62.366666666666674,69.9,True
Зайцев Юлий Автономович,М,2021,очная,Информатика и вычислительная техника,"к. Миллерово, ул. алл. Совхозная, д. 3, кв. 60",+75148468536,65.9,66.5,,67.7,59.5,,,,64.56666666666666,64.3,True
Селезнев Глеб Рюрикович,М,2021,заочная,Прикладная математика,"п. Балтийск, ул. алл. Киевская, д. 650, кв. 125",84987820829,67.1,,,,73.8,,65.6,69.3,69.56666666666666,70.2,True
Беспалов Серафим Григориевич,М,2021,заочная,Медицинская биохимия,"к. Липецк, ул. пер. Иванова, д. 8, кв. 2",83748969083,74.0,40.0,71.1,,,,,46.5,52.53333333333333,61.1,False
Ситникова Анжела Селиверстовна,Ж,2021,заочная,Биология,"г. Дивногорск, ул. пр. Металлистов, д. 5/5, кв. 140",87232466513,71.3,60.4,,51.7,,,,51.0,54.36666666666667,59.3,False
Журавлев Любим Максимильянович,М,2021,заочная,Прикладная математика,"с. Петухово, ул. наб. Никитина, д. 5/2, кв. 108",84424936312,79.3,76.0,,,,43.1,,67.1,62.06666666666666,66.2,True
Васильева Ирина Сильвестровна,Ж,2021,очная,История,"с. Нефтеюганск, ул. пр. Озерный, д. 6, кв. 9",+70347786603,72.0,55.2,,40.0,,,,59.7,51.63333333333333,57.2,False
Хохлова Елена Наркисовна,Ж,2021,заочная,Медицинская биохимия,"с. Костомукша, ул. наб. Островского, д. 47, кв. 10",+74204482070,68.9,,64.6,,,70.2,45.8,,60.20000000000001,64.2,False
Зыков Олимпий Измаилович,М,2021,очно-заочная,История,"к. Хабаровск, ул. пр. Производственный, д. 8/2, кв. 29",+71594165162,86.2,65.8,,,,71.2,,68.7,68.56666666666666,73.5,True
Рыбаков Богдан Проклович,М,2021,заочная,Информатика и вычислительная техника,"п. Хатанга, ул. бул. Максима Горького, д. 45, кв. 13",+71981898471,76.0,79.4,,56.1,65.2,,,,66.89999999999999,69.6,True
Третьякова Ульяна Брониславовна,Ж,2021,очная,Химия,"д. Смоленск, ул. бул. Октябрьский, д. 65, кв. 29",+79155963632,77.8,57.7,,,61.0,,,50.0,56.23333333333333,63.8,False
Третьякова Полина Луковна,Ж,2021,заочная,Экономика,"д. Железногорск(Курск.), ул. пр. Красных Партизан, д. 56, кв. 61",+72347649078,68.9,85.5,,,,59.4,52.8,,65.89999999999999,67.9,True
Чернова Варвара Адамовна,Ж,2021,очно-заочная,Экономика,"ст. Можайск, ул. пер. Малиновый, д. 7, кв. 90",81586734257,74.1,,46.0,,,,80.3,54.0,60.1,63.5,True
Маслов Варфоломей Остромирович,М,2021,очная,Биология,"с. Салават, ул. алл. Победы, д. 5, кв. 224",84090034864,78.1,,61.5,,74.0,60.9,,,65.46666666666667,69.5,True
Наумов Анатолий Ульянович,М,2021,очная,История,"клх Кижи, ул. наб. Иркутская, д. 249, кв. 102",81837606441,70.5,,,71.4,,55.6,,79.7,68.89999999999999,69.4,True
Шарапова Агата Будимировна,Ж,2021,очная,Медицинская биохимия,"ст. Шилка, ул. алл. Отрадная, д. 8, кв. 73",+74327560417,79.7,,,86.4,61.9,,,56.7,68.33333333333333,72.5,True
Силин Эрнест Янович,М,2021,заочная,Медицинская биохимия,"д. Куртамыш, ул. пр. Путевой, д. 388, кв. 38",86561248156,73.8,82.0,,,,64.2,70.4,,72.2,74.0,True
Белозеров Лазарь Симонович,М,2021,заочная,Физика,"г. Чусовой, ул. наб. Громова, д. 3/8, кв. 186",88570027206,75.6,,,,51.9,79.7,,60.2,63.93333333333334,66.7,True
Ершова Тамара Ратиборовна,Ж,2021,очная,Медицинская биохимия,"д. Тымовское, ул. бул. Просторный, д. 232, кв. 248",+74591123829,73.8,,58.5,,87.1,,,64.7,70.10000000000001,72.6,True
Громов Матвей Аполлинариевич,М,2021,заочная,Прикладная математика,"ст. Холмогоры, ул. пр. Карьерный, д. 821, кв. 195",85772429543,88.5,64.6,64.7,56.0,,,,,61.76666666666667,71.9,True
Сазонова Елена Радовановна,Ж,2021,очно-заочная,Химия,"с. Муром, ул. наб. Тельмана, д. 74, кв. 95",+76526693008,77.3,,,,55.5,80.7,,54.6,63.599999999999994,68.6,False
Шилова Лора Якубовна,Ж,2021,очная,Биология,"с. Черняховск, ул. алл. Кедровая, д. 130, кв. 78",83173420696,71.1,,,61.0,,48.6,,71.6,60.4,64.9,False
Мухина Фёкла Михаиловна,Ж,2021,очно-заочная,Прикладная математика,"д. Ряжск, ул. ш. Свободы, д. 2/3, кв. 186",84215291086,82.3,,71.6,77.7,,,,71.6,73.63333333333334,76.3,True
Андреев Радислав Валериевич,М,2021,очно-заочная,Прикладная математика,"д. Белореченск, ул. ш. Береговое, д. 25, кв. 35",87133344762,70.1,57.8,45.9,,,,78.4,,60.699999999999996,62.5,False
Смирнова Елена Матвеевна,Ж,2021,заочная,Химия,"п. Славгород, ул. наб. Пирогова, д. 9, кв. 181",83934362620,78.7,,,66.0,,81.0,,60.3,69.10000000000001,73.1,True
Никонов Мина Кузьмович,М,2021,заочная,Физика,"п. Набережные Челны, ул. пер. Энтузиастов, д. 1/9, кв. 241",+74397359710,65.6,,67.2,68.6,,82.4,,,72.73333333333333,70.3,True
Галкина Таисия Мстиславовна,Ж,2021,очная,Медицинская биохимия,"ст. Быково (метеост.), ул. пер. Красноярский, д. 945, кв. 77",82563669411,69.4,,62.6,,77.0,61.7,,,67.10000000000001,68.5,True
