ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении
Иванов Дмитрий Михайлович,М,2021,очная,Прикладная математика,"Екатеринбург, ул. Ленина, д. 4, кв. 172",+375046790649,87.5,61.3,65.5,,,,,60.0,62.26666666666667,69.3
Павлова Ольга Алексеевна,Ж,2021,заочная,Медицинская биохимия,"Санкт-Петербург, ул. Советская, д. 147, кв. 172",+375026906400,80.3,,40.0,49.9,63.5,,,,51.13333333333333,59.8
Медведева Мария Петровна,Ж,2021,очная,Физика,"Краснодар, ул. Мира, д. 24, кв. 200",+375082498587,72.2,64.9,,71.0,,67.0,,,67.63333333333334,69.9
Егорова Виктория Ивановна,Ж,2021,очная,Информатика и вычислительная техника,"Пермь, ул. Советская, д. 186, кв. 186",+375708582258,76.4,73.4,65.5,,,,74.1,,71.0,71.2
Петров Александр Сергеевич,М,2021,очно-заочная,Биология,"Санкт-Петербург, ул. Центральная, д. 165, кв. 60",+375622182487,77.2,63.5,,74.0,94.3,,,,77.26666666666667,77.6
Козлов Сергей Иванович,М,2021,заочная,Информатика и вычислительная техника,"Краснодар, ул. Центральная, д. 68, кв. 119",+375121755873,74.0,,71.8,68.5,55.7,,,,65.33333333333333,67.2
Кузнецов Андрей Владимирович,М,2021,очно-заочная,Медицинская биохимия,"Москва, ул. Советская, д. 45, кв. 11",+375380115392,73.0,,,66.9,65.5,,,71.1,67.83333333333333,68.9
Фёдорова Ольга Михайловна,Ж,2021,заочная,Информатика и вычислительная техника,"Казань, ул. Школьная, д. 174, кв. 81",+375225763391,78.4,74.2,,,,,51.0,63.4,62.86666666666667,66.8
Васильева Анна Владимировна,Ж,2021,очная,Медицинская биохимия,"Воронеж, ул. Советская, д. 25, кв. 195",+375081783789,71.5,,88.1,,,63.4,,64.4,71.96666666666667,70.8
Кузьмина Александра Алексеевна,Ж,2021,заочная,Информатика и вычислительная техника,"Москва, ул. Ленина, д. 36, кв. 170",+375946930242,70.3,,66.7,,64.9,76.5,,,69.36666666666667,71.0
